For the,Name Of Party,"Nature of
Relationship",Nature of Transaction,"For the period ended
September 2025","For the year ended
March 2025","For the year ended
March 2024","For the year ended
March 2023"
GSP Crop Science Private Limited,GSP Intermediates Private Limited,Subsidiary,Purchase of Goods,20.32,1 2.20,0.59,-
GSP Crop Science Private Limited,GSP Intermediates Private Limited,Subsidiary,Sales of Products,23.14,1 9.89,-,-
GSP Crop Science Private Limited,GSP Intermediates Private Limited,Subsidiary,Other Income,-,-,0.55,-
GSP Crop Science Private Limited,GSP Intermediates Private Limited,Subsidiary,Loan Given,199.50,3 96.30,4 27.18,-
GSP Crop Science Private Limited,GSP Intermediates Private Limited,Subsidiary,Loan Repaid,-,4 18.71,-,-
GSP Crop Science Private Limited,GSP Intermediates Private Limited,Subsidiary,Purchase of Asset,-,1.40,6.64,-
GSP Crop Science Private Limited,GSP Intermediates Private Limited,Subsidiary,Sales of Service,-,-,9.77,-
GSP Crop Science Private Limited,GSP Intermediates Private Limited,Subsidiary,Interest income,24.99,3 8.25,10.03,-
GSP Crop Science Private Limited,GSP Intermediates Private Limited,Subsidiary,Sale of Fixed Assets,8.33,7.25,15.41,-
GSP Crop Science Private Limited,GSP Intermediates Private Limited,Subsidiary,Reimbursement of Expense,-,0.01,0.11,-
GSP Crop Science Private Limited,GSP Intermediates Private Limited,Subsidiary,Investment,-,1 18.42,-,-
GSP Crop Science Private Limited,GSP Intermediates Private Limited,Subsidiary,Job Work Charges,82.14,-,-,-
GSP Crop Science Private Limited,Indo GSP Chemicals Private Limited,Subsidiary*,Reimbursement of Expense,-,-,0.53,1 .75
GSP Crop Science Private Limited,Indo GSP Chemicals Private Limited,Subsidiary*,Sales of Products,-,-,"2 ,049.06","2 ,225.35"
GSP Crop Science Private Limited,Indo GSP Chemicals Private Limited,Subsidiary*,Interest income,-,-,3.55,-
GSP Crop Science Private Limited,Indo GSP Chemicals Private Limited,Subsidiary*,Export Benefit Receipt,-,-,0.08,0 .08
GSP Crop Science Private Limited,Indo GSP Chemicals Private Limited,Subsidiary*,RODTEP License Purchase,-,-,3.76,3 .00
GSP Crop Science Private Limited,Indo GSP Chemicals Private Limited,Subsidiary*,Reimbursement of Expense,-,-,-,-
GSP Crop Science Private Limited,Indo GSP Chemicals Private Limited,Subsidiary*,MEIS License Purchase,-,-,-,-
GSP Crop Science Private Limited,Indo GSP Chemicals Private LLP,Subsidiary,Share of Profit,-,-,-,-
GSP Crop Science Private Limited,Indo GSP Chemicals Private LLP,Subsidiary,Sales of Products,-,-,-,-
GSP Crop Science Private Limited,Rajdhani Petrochemicals Private Limited,Subsidiary,Purchase of Goods,846.14,"1 ,728.70","1 ,198.87","1 ,267.70"
GSP Crop Science Private Limited,Rajdhani Petrochemicals Private Limited,Subsidiary,Sales of Products,581.86,"1 ,024.40",5 95.23,9 38.16
GSP Crop Science Private Limited,Rajdhani Petrochemicals Private Limited,Subsidiary,Sales of Fixed Assets,-,0.63,-,-
GSP Crop Science Private Limited,Rajdhani Petrochemicals Private Limited,Subsidiary,Rent Income,-,-,-,0 .01
GSP Crop Science Private Limited,Rajdhani Petrochemicals Private Limited,Subsidiary,Other Expenses,-,-,0.05,-
GSP Crop Science Private Limited,Rajdhani Petrochemicals Private Limited,Subsidiary,Purchase of Asset,-,0.05,-,0 .21
GSP Crop Science Private Limited,Rajdhani Petrochemicals Private Limited,Subsidiary,Misc income,-,0.04,-,0 .22
GSP Crop Science Private Limited,Rajdhani Petrochemicals Private Limited,Subsidiary,Reimbursement of Expense,-,-,0.16,0 .30
GSP Crop Science Private Limited,Rajdhani Petrochemicals Private Limited,Subsidiary,Sales of Service,-,2 70.15,1 86.79,2 02.01
GSP Crop Science Private Limited,Rajdhani Petrochemicals Private Limited,Subsidiary,Dividend Income,30.00,-,-,-
GSP Crop Science Private Limited,GSP Agroquimica Do Brazil LTDA,Subsidiary,Sales of Products,3.72,-,-,-
GSP INTERMEDIATES PRIVATE LIMITED,GSP Crop Science Private Limited,Subsidiary,Purchase of Capital Goods,8.33,7.25,15.96,-
GSP INTERMEDIATES PRIVATE LIMITED,GSP Crop Science Private Limited,Subsidiary,Sales of Asset,-,1.40,6.64,-
GSP INTERMEDIATES PRIVATE LIMITED,GSP Crop Science Private Limited,Subsidiary,Sales of Products,20.32,1 2.20,0.59,-
GSP INTERMEDIATES PRIVATE LIMITED,GSP Crop Science Private Limited,Subsidiary,Purchase of Goods,23.14,1 9.89,-,
GSP INTERMEDIATES PRIVATE LIMITED,GSP Crop Science Private Limited,Subsidiary,Purchase of Service,-,-,9.77,-
GSP INTERMEDIATES PRIVATE LIMITED,GSP Crop Science Private Limited,Subsidiary,Reimbursement of Expense,-,0.01,0.11,-
