"Financial Instruments by
Category",Carrying Amount,,,Fair Value,,
,FVTPL,"Derivatives
designated as
hedge",Amortised Cost,Level I,Level II,Level III
Financial Assets:,,,,,,
Non-Current Investments – Others,1 1.39,-,-,11.39,-,-
Non-Current Trade Receivables,-,-,2.34,-,-,-
Non-Current Loans,-,-,0.40,-,-,-
"Other Non-Current Financial
Assets",-,-,12.54,-,-,-
Current Investments,3 54.67,-,-,3 54.67,-,-
Trade Receivables,-,-,399.26,-,-,-
Cash & Cash Equivalents,-,-,21.40,-,-,-
Other Bank Balance,-,-,21.68,-,,-
Current Loans,-,-,0.68,-,-,-
Other Current Financial Assets,,,,,,
Derivative Instruments,-,0.22,-,-,0.22,-
Others,-,-,4.81,-,-,-
Financial Liabilities:,,,,,,
Non-Current Borrowings,-,-,235.77,-,-,-
Non-Current Lease Liabilities,-,-,9.73,-,-,-
Current Borrowings,-,-,65.03,-,-,-
Current Lease Liabilities,-,-,1.35,-,-,-
Trade Payables,-,-,263.58,-,-,-
Other Current Financial Liabilities,-,-,296.40,-,-,-
"Financial Instruments by
Category",Carrying Amount,,,Fair Value,,
,FVTPL,"Derivatives
designated as
hedge",Amortised Cost,Level I,Level II,Level III
Financial Assets:,,,,,,
Non-Current Investments – Others,6 9.53,-,-,69.53,-,-
Non-Current Trade Receivables,-,-,16.38,-,-,-
Non-Current Loans,-,-,0.33,-,-,-
"Other Non-Current Financial
Assets",-,-,2.54,-,-,-
Current Investments,3 24.72,-,-,3 24.72,-,-
Trade Receivables,-,-,262.28,-,-,-
Cash & Cash Equivalents,-,-,23.33,-,-,-
Other Bank Balance,-,-,7.35,-,-,-
Current Loans,-,-,0.50,-,-,-
Other Current Financial Assets,-,-,7.21,-,-,-
Financial Liabilities:,,,,,,
Non-Current Borrowings,-,-,55.60,-,-,-
"Other Non - Current Financial
Liabilities",,,,,,
Derivative Instruments,-,0.33,-,-,0.33,-
Others,-,-,10.93,-,-,-
Current Borrowings,-,-,223.28,-,-,-
Trade Payables,-,-,235.47,-,-,-
Other Current Financial Liabilities,-,-,494.06,-,-,-
